TMC,Severity,Start_Lng,Start_Lat,City,County,State,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Hour,Weekday,Number,Street,Zipcode,Precipitation(in),Wind_Speed(mph),Wind_Chill(F)
201.0,3.0,-94.608307,39.098896,Kansas City,Wyandotte,KS,48.0,77.0,29.08,10.0,WNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,4.0,Thu,,I-670 E,66118,0.0,9.0,44.0
201.0,3.0,-94.691376,39.023293,Shawnee,Johnson,KS,40.0,73.0,29.31,9.0,E,Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,18.0,Fri,,I-35 N,66203,0.0,7.0,35.0
201.0,3.0,-94.65612,39.044478999999995,Kansas City,Wyandotte,KS,47.0,93.0,29.02,7.0,E,Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Night,7.0,Sat,3251.0,S 24th St,66106,0.0,7.0,44.0
201.0,3.0,-94.680931,39.073589,Kansas City,Wyandotte,KS,57.0,89.0,28.88,2.0,ESE,Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,12.0,Sat,,I-635 S,66106,0.08,9.0,57.0
201.0,3.0,-94.70506999999999,38.935131,Overland Park,Johnson,KS,56.0,100.0,28.52,7.0,SSE,Light Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,13.0,Sat,,US-69 S,66210,0.09,12.0,56.0
201.0,3.0,-94.749107,38.937591999999995,Lenexa,Johnson,KS,56.0,100.0,28.52,7.0,SSE,Light Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,13.0,Sat,,I-35 S,66215,0.09,12.0,56.0
201.0,2.0,-94.813927,38.8573,Olathe,Johnson,KS,57.0,93.0,28.49,5.0,SSE,Light Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,13.0,Sat,,US-169 S,66061,0.05,13.0,57.0
201.0,3.0,-94.812096,39.109035,Kansas City,Wyandotte,KS,56.0,90.0,28.79,2.0,SSW,Heavy Rain / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,16.0,Sat,,I-435 S,66111,0.14,29.0,56.0
201.0,3.0,-94.67926,39.053219,Kansas City,Wyandotte,KS,53.0,96.0,28.78,6.0,ESE,Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,18.0,Sat,,I-635 N,66106,0.07,3.0,53.0
201.0,2.0,-94.761848,38.941353,Lenexa,Johnson,KS,32.0,75.0,28.56,10.0,WNW,Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,5.0,Mon,10398.0,Lackman Rd,66219,0.0,14.0,22.0
241.0,3.0,-94.8321,38.844437,Olathe city,Johnson,KS,32.0,66.0,28.61,10.0,W,Cloudy / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,6.0,Mon,15501.0,S Lone Elm Rd,66061,0.0,22.0,19.0
201.0,2.0,-94.644501,38.932109999999994,Leawood,Johnson,KS,31.0,76.0,28.66,10.0,WNW,Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,9.0,Mon,,I-435 E,66211,0.0,13.0,21.0
241.0,3.0,-94.644501,38.932109999999994,Leawood,Johnson,KS,31.0,76.0,28.69,10.0,W,Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,11.0,Mon,,I-435 E,66211,0.0,15.0,20.0
241.0,3.0,-94.785744,39.012046999999995,Shawnee,Johnson,KS,30.0,64.0,28.79,10.0,W,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,5.0,Tue,,I-435 S,66217,0.0,12.0,21.0
201.0,3.0,-94.733025,38.956387,Lenexa,Johnson,KS,28.0,72.0,28.84,10.0,W,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,7.0,Tue,,W 95th St,66215,0.0,9.0,19.0
245.0,3.0,-94.792938,39.064484,Kansas City,Wyandotte,KS,35.0,54.0,29.24,10.0,W,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,9.0,Tue,,I-435 S,66111,0.0,9.0,28.0
201.0,2.0,-94.776199,38.96817,Lenexa,Johnson,KS,32.0,66.0,29.06,10.0,NW,Fair,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,10.0,Mon,,I-435 N,66219,0.0,5.0,27.0
201.0,2.0,-94.679283,39.051327,Kansas City,Wyandotte,KS,33.0,64.0,29.11,10.0,W,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,7.0,Tue,,I-635 S,66106,0.0,3.0,33.0
201.0,2.0,-94.694038,39.007374,Shawnee,Johnson,KS,33.0,64.0,29.1,10.0,SSW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,7.0,Tue,,W 67th St,66203,0.0,6.0,28.0
201.0,2.0,-94.93328100000001,38.799351,Gardner,Johnson,KS,50.0,48.0,28.74,10.0,WSW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,16.0,Tue,281.0,W Cheyenne St,66030-7502,0.0,5.0,50.0
201.0,2.0,-94.771362,38.912655,Olathe,Johnson,KS,44.0,55.0,28.75,10.0,WSW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,18.0,Tue,,W 119th St,66061,0.0,5.0,42.0
201.0,2.0,-97.398163,37.673233,Wichita,Sedgwick,KS,29.0,75.0,28.5,10.0,NW,Mostly Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,7.0,Tue,,US-400 E,67209,0.0,3.0,29.0
241.0,3.0,-94.69770799999999,38.99305,Shawnee,Johnson,KS,56.0,40.0,29.15,10.0,WSW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,12.0,Wed,,W 75th St,66203,0.0,7.0,56.0
203.0,3.0,-94.67926,39.053219,Kansas City,Wyandotte,KS,49.0,50.0,29.15,10.0,CALM,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,18.0,Wed,,I-635 N,66106,0.0,0.0,49.0
241.0,2.0,-94.676102,38.883671,Overland Park,Johnson,KS,36.0,93.0,28.77,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,7.0,Thu,,W 135th St,66223,0.0,5.0,32.0
241.0,3.0,-94.691376,39.023293,Shawnee,Johnson,KS,40.0,73.0,29.14,10.0,ENE,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,8.0,Thu,,I-35 N,66203,0.0,3.0,40.0
201.0,2.0,-94.70800799999999,38.956264000000004,Overland Park,Johnson,KS,59.0,44.0,28.71,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,12.0,Thu,,US-69 S,66214,0.0,8.0,59.0
201.0,3.0,-94.667534,38.932007,Overland Park,Johnson,KS,53.0,55.0,28.71,10.0,CALM,Partly Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Thu,,Metcalf Ave,66210,0.0,0.0,53.0
201.0,2.0,-94.78298199999999,39.000071999999996,Shawnee,Johnson,KS,32.0,88.0,29.1,10.0,N,Partly Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,8.0,Fri,,Midland Dr,66217,0.0,16.0,21.0
201.0,3.0,-94.608307,39.098896,Kansas City,Wyandotte,KS,41.0,49.0,29.54,10.0,N,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,16.0,Fri,,I-670 E,66118,0.0,7.0,36.0
201.0,2.0,-94.676102,38.883671,Overland Park,Johnson,KS,37.0,57.0,29.19,10.0,NNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Fri,,W 135th St,66223,0.0,3.0,37.0
201.0,4.0,-96.37748,38.270241,Cottonwood Falls,Chase,KS,24.0,88.0,29.05,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,0.0,Sat,,I-35 N,66845,0.0,7.0,16.0
201.0,3.0,-94.69770799999999,38.993053,Shawnee,Johnson,KS,29.0,75.0,29.51,10.0,CALM,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,6.0,Sat,,W 75th St,66203,0.0,0.0,29.0
201.0,3.0,-94.608994,38.936577,Leawood,Johnson,KS,24.0,91.0,29.14,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,7.0,Sat,,I-435 E,66211,0.0,5.0,18.0
201.0,2.0,-94.790863,38.884335,Olathe,Johnson,KS,30.0,92.0,29.13,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,8.0,Sat,,I-35 N,66062,0.0,6.0,24.0
201.0,3.0,-94.61500500000001,39.113213,Kansas City,Wyandotte,KS,33.0,75.0,29.5,10.0,CALM,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,8.0,Sat,,Lewis and Clark Viaduct Brg E,66115,0.0,0.0,33.0
201.0,3.0,-94.705803,38.932091,Overland Park,Johnson,KS,36.0,79.0,29.13,10.0,S,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,10.0,Sat,,US-69 S,66210,0.0,9.0,29.0
201.0,3.0,-94.616226,39.114693,Kansas City,Wyandotte,KS,43.0,53.0,29.48,10.0,SSW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,11.0,Sat,954.0,N 3rd St,66115,0.0,12.0,37.0
201.0,2.0,-94.900444,39.166138000000004,Kansas City,Wyandotte,KS,44.0,82.0,29.03,10.0,SE,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,8.0,Sun,4357.0,N 139th St,66109,0.0,6.0,41.0
245.0,3.0,-94.67926,39.053219,Kansas City,Wyandotte,KS,33.0,72.0,28.97,10.0,NNW,Cloudy / Windy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,10.0,Mon,,I-635 N,66106,0.0,21.0,21.0
201.0,3.0,-94.608307,39.098896,Kansas City,Wyandotte,KS,25.0,58.0,29.24,10.0,WNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Mon,,I-670 E,66118,0.0,17.0,12.0
201.0,3.0,-94.771362,38.912655,Olathe,Johnson,KS,25.0,58.0,28.89,10.0,NNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Mon,,W 119th St,66061,0.0,16.0,12.0
201.0,3.0,-94.761848,38.941353,Lenexa,Johnson,KS,24.0,62.0,28.86,10.0,NNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Mon,10398.0,Lackman Rd,66219,0.0,12.0,13.0
201.0,3.0,-94.608994,38.936577,Leawood,Johnson,KS,35.0,54.0,29.11,10.0,NW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,12.0,Tue,,I-435 E,66211,0.0,12.0,27.0
201.0,3.0,-94.679512,38.934101,Overland Park,Johnson,KS,34.0,42.0,29.13,10.0,N,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,14.0,Tue,,I-435 E,66210,0.0,12.0,25.0
406.0,2.0,-94.71698,38.972279,Overland Park,Johnson,KS,33.0,42.0,29.15,10.0,NW,Partly Cloudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Day,16.0,Tue,,I-35 N,66214,0.0,9.0,25.0
201.0,2.0,-95.91699200000001,39.058632,Topeka,Shawnee,KS,32.0,42.0,29.41,10.0,WNW,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night,17.0,Tue,,I-70 W,66615,0.0,5.0,27.0
